OBJECTID_1,OBJECTID,CD_USO_SOL,CD_UNIDADE,CD_REGIAO,CD_PROJETO,AREA_HA,CD_TALHAO,ID_REGIAO,ID_PROJETO,Shape_Leng,Shape_Area,CAMALHAO
29651,1119189,291326,1,11,6387,0.26000000000,052B,11,G881,0.00269494585,0.00000024379,Classe 3
29652,1119190,291322,1,11,6387,0.28000000000,037C,11,G881,0.00107797834,0.00000026289,Classe 1
29653,1119191,291319,1,11,6387,0.18000000000,003B,11,G881,0.02115409140,0.00000017313,Classe 1
29654,1119192,275831,1,11,6387,2.33000000000,025A,11,G881,0.07817245129,0.00000219117,Classe 3
29655,1020738,242364,1,11,2139,0.02000000000,013D,11,377,0.00382253512,0.00000001901,Classe 3
29656,1020525,267140,1,11,2139,0.07000000000,007G,11,377,0.04286556675,0.00000006700,Classe 1
29657,1106561,274297,1,13,6300,4.14000000000,015A,12,R309,0.00101623400,0.00000395120,Classe 1
29658,1106562,287817,1,13,6300,0.05000000000,001B,12,R309,0.01178798706,0.00000004433,Classe 3
29659,1106563,287830,1,13,6300,0.10000000000,055B,12,R309,0.00101623400,0.00000009930,Classe 1
29660,1106564,287808,1,13,6300,0.01000000000,011C,12,R309,0.00000000000,0.00000000883,Classe 2
29661,1106565,287873,1,13,6300,0.10000000000,054B,12,R309,0.00107797834,0.00000009508,Classe 1
29662,1106572,274955,1,13,6323,54.05000000000,001A,12,R334,0.05215976189,0.00005161686,Classe 2
29663,1106573,287935,1,13,6323,0.09000000000,001B,12,R334,0.05215976189,0.00000008837,Classe 2
29664,1220319,260319,1,11,2365,11.12000000000,019C,11,646,0.00107797834,0.00001043497,Classe 1
29665,1065155,8430,1,11,1064,0.50000000000,023H,11,091,0.00161696751,0.00000046782,Classe 1
29666,1220323,260227,1,11,2365,18.21000000000,017B,11,646,0.00107797834,0.00001709562,Classe 1
29667,1220358,288786,1,11,2365,0.10000000000,007E,11,646,0.00107797834,0.00000009198,Classe 1
29668,1220353,289045,1,11,2365,0.04000000000,015D,11,646,0.02148088739,0.00000003405,Classe 1
29669,1220359,300754,1,11,2365,0.53000000000,009B,11,646,0.00259205522,0.00000049511,Classe 3
29670,1220363,300756,1,11,2365,0.09000000000,003C,11,646,0.09782297079,0.00000008738,Classe 1
29671,905424,147654,1,11,1064,3.00000000000,054A,11,091,0.00248210666,0.00000281550,Classe 1
29672,1221903,300978,1,11,1657,21.34000000000,001A,11,157,0.00101079607,0.00002004689,Classe 3
29673,1221904,187603,1,11,1002,1.38000000000,033B,11,010,0.00825233193,0.00000129698,Classe 3
29674,1065313,257053,1,11,1064,6.97000000000,023F,11,091,0.00101079607,0.00000653538,Classe 1
29675,1109285,288856,1,11,6383,1.98000000000,013F,11,G877,0.00101055091,0.00000184701,Classe 3
29676,1196494,297922,1,11,1856,3.68000000000,005A,11,596,0.00543754971,0.00000344810,Classe 1
29677,1109287,288841,1,11,6383,0.24000000000,051C,11,G877,0.00152503657,0.00000022472,Classe 3
29678,1109288,288829,1,11,6383,0.08000000000,006C,11,G877,0.00204470599,0.00000007847,Classe 1
29679,1109289,288839,1,11,6383,0.68000000000,040D,11,G877,0.00107797834,0.00000063779,Classe 3
29680,1109290,288872,1,11,6383,0.35000000000,049F,11,G877,0.00107797834,0.00000032313,Classe 3
29681,1109330,288828,1,11,6383,0.10000000000,008C,11,G877,0.00582788244,0.00000009070,Classe 1
29682,1058604,260263,1,11,2390,7.63000000000,001A,11,656,0.00204457262,0.00000715606,Classe 1
29683,1058605,260269,1,11,2390,20.69000000000,006A,11,656,0.00101079607,0.00001941255,Classe 1
29684,1058606,260259,1,11,2390,19.38000000000,007A,11,656,0.00107797834,0.00001817819,Classe 1
29685,1058609,260255,1,11,2390,17.35000000000,012A,11,656,0.00101651122,0.00001627951,Classe 1
29686,1109372,275732,1,11,6383,0.23000000000,005B,11,G877,0.00101678836,0.00000021510,Classe 1
29687,1109374,288852,1,11,6383,0.88000000000,023F,11,G877,0.00107797834,0.00000082307,Classe 3
29688,1058610,260262,1,11,2390,3.92000000000,004A,11,656,0.00107797834,0.00000368027,Classe 1
29689,1109375,288862,1,11,6383,0.52000000000,017C,11,G877,0.00107797834,0.00000048485,Classe 3
29690,1109376,288863,1,11,6383,0.43000000000,030J,11,G877,0.00107797834,0.00000040443,Classe 3
29691,1058612,260268,1,11,2390,6.28000000000,005A,11,656,0.00107797834,0.00000589364,Classe 1
29692,1106477,274337,1,13,6300,2.00000000000,065A,12,R309,0.00101079607,0.00000191408,Classe 1
29693,1106478,274312,1,13,6300,0.36000000000,029A,12,R309,0.00366816261,0.00000033944,Classe 1
29694,1225923,277595,1,11,5330,23.03000000000,051A,11,G976,0.00107797834,0.00002157307,Classe 3
